city,temperature,carbon_intensity,date_time
Paris,5.79,67.0,2025-02-13 12:26:02
Paris,5.79,67.0,2025-02-13 12:26:02
Paris,5.79,67.0,2025-02-13 12:26:02
Paris,5.79,67.0,2025-02-13 12:32:21
Paris,5.79,67.0,2025-02-13 12:32:21
Paris,5.79,67.0,2025-02-13 12:32:21
Paris,5.79,67.0,2025-02-13 12:32:21
Paris,5.79,67.0,2025-02-13 12:32:21
Paris,5.79,67.0,2025-02-13 12:35:02
Paris,5.79,67.0,2025-02-13 12:35:02
Paris,5.79,67.0,2025-02-13 12:35:02
Paris,5.79,67.0,2025-02-13 12:35:02
Paris,5.79,67.0,2025-02-13 12:36:44
